month,Ticker,Company,Daily_Return,Rank
October 2023,NESTLEIND,NESTLE,9.547096493008887,1
October 2023,COALINDIA,COAL INDIA,0.07657770452163444,2
October 2023,BAJAJ-AUTO,BAJAJ AUTO,0.06099717917016377,3
October 2023,SBILIFE,SBI LIFE INSURANCE,0.05837862712999844,4
October 2023,TRENT,TRENT,0.04803524846208892,5
October 2023,TATASTEEL,TATA STEEL,-0.07359577643483539,-5
October 2023,TECHM,TECH MAHINDRA,-0.06950362744557217,-4
October 2023,SBIN,SBI,-0.06243574800761069,-3
October 2023,APOLLOHOSP,APOLLO HOSPITALS,-0.05921688513817827,-2
October 2023,BAJFINANCE,BAJAJ FINANCE,-0.059032832577201697,-1
November 2023,NESTLEIND,NESTLE,9.450124265319598,1
November 2023,TRENT,TRENT,0.2627694167012252,2
November 2023,BPCL,BPCL,0.2243140771650462,3
November 2023,HEROMOTOCO,HERO MOTOCORP,0.21614488086150935,4
November 2023,EICHERMOT,EICHER MOTORS,0.1706354744343142,5
November 2023,BAJFINANCE,BAJAJ FINANCE,-0.04935006272416174,-5
November 2023,SBIN,SBI,-0.0004162586282832788,-4
November 2023,KOTAKBANK,KOTAK MAHINDRA BANK,0.009499638261761745,-3
November 2023,CIPLA,CIPLA,0.01437758367654016,-2
November 2023,ITC,ITC,0.01751490414511831,-1
December 2023,NESTLEIND,NESTLE,10.08658433282587,1
December 2023,BEL,BHARAT ELECTRONICS,0.23780010240624683,2
December 2023,ADANIPORTS,ADANI PORTS & SEZ,0.23112440351941235,3
December 2023,ADANIGREEN,ADANI ENTERPRISES,0.2074633907911235,4
December 2023,NTPC,NTPC,0.1793129489921441,5
December 2023,HDFCLIFE,HDFC LIFE INSURANCE,-0.0632663578088078,-5
December 2023,MARUTI,MARUTI SUZUKI,-0.028499572567393276,-4
December 2023,SBILIFE,SBI LIFE INSURANCE,-0.0008616637363099522,-3
December 2023,DRREDDY,DR. REDDYS LAB,0.003910115622405903,-2
December 2023,BAJAJFINSV,BAJAJ FINSERV,0.00835874398820636,-1
January 2024,NESTLEIND,NESTLE,11.202088705294559,1
January 2024,ONGC,ONGC,0.2157874480276142,2
January 2024,SHRIRAMFIN,SHRIRAM FINANCE,0.18798473403236562,3
January 2024,ADANIPORTS,ADANI PORTS & SEZ,0.1702062284792381,4
January 2024,AIRTEL,BHARTI AIRTEL,0.12862274249947228,5
January 2024,HDFCBANK,HDFC BANK,-0.14981819940536095,-5
January 2024,ASIANPAINT,ASIAN PAINTS,-0.13851990624263644,-4
January 2024,HDFCLIFE,HDFC LIFE INSURANCE,-0.11277381316340167,-3
January 2024,EICHERMOT,EICHER MOTORS,-0.07366388496598997,-2
January 2024,JSWSTEEL,JSW STEEL,-0.0703613826189767,-1
February 2024,NESTLEIND,NESTLE,10.25587691938293,1
February 2024,TRENT,TRENT,0.2495091757352349,2
February 2024,BPCL,BPCL,0.19678922390384201,3
February 2024,M&M,M&M,0.1618496050978075,4
February 2024,SBIN,SBI,0.15934779591459566,5
February 2024,HINDALCO,HINDALCO,-0.1296694940302012,-5
February 2024,ITC,ITC,-0.08117994910626417,-4
February 2024,KOTAKBANK,KOTAK MAHINDRA BANK,-0.07576478007057495,-3
February 2024,BAJFINANCE,BAJAJ FINANCE,-0.05324528855037139,-2
February 2024,ASIANPAINT,ASIAN PAINTS,-0.04533129080743168,-1
March 2024,NESTLEIND,NESTLE,8.076304810843205,1
March 2024,BAJAJ-AUTO,BAJAJ AUTO,0.1484164706170892,2
March 2024,MARUTI,MARUTI SUZUKI,0.11208594781359328,3
March 2024,BAJFINANCE,BAJAJ FINANCE,0.11167847325757353,4
March 2024,TATASTEEL,TATA STEEL,0.1092538560954737,5
March 2024,INFY,INFOSYS,-0.1090809778815926,-5
March 2024,TATACONSUMER,TATA CONSUMER,-0.07884767196107947,-4
March 2024,WIPRO,WIPRO,-0.0751453528113186,-3
March 2024,HCLTECH,HCL TECHNOLOGIES,-0.07340505101676173,-2
March 2024,HINDUNILVR,HINDUSTAN UNILEVER,-0.062345035080619525,-1
April 2024,NESTLEIND,NESTLE,8.53834507984468,1
April 2024,BEL,BHARAT ELECTRONICS,0.15158418403523471,2
April 2024,HINDALCO,HINDALCO,0.1421427350650072,3
April 2024,EICHERMOT,EICHER MOTORS,0.13725225821587636,4
April 2024,M&M,M&M,0.11857569279448826,5
April 2024,HCLTECH,HCL TECHNOLOGIES,-0.11867473361886684,-5
April 2024,KOTAKBANK,KOTAK MAHINDRA BANK,-0.08685878144209905,-4
April 2024,HDFCLIFE,HDFC LIFE INSURANCE,-0.08062480675617383,-3
April 2024,SUNPHARMA,SUN PHARMA,-0.07374754524866937,-2
April 2024,CIPLA,CIPLA,-0.06531173374312427,-1
May 2024,NESTLEIND,NESTLE,12.275332461629995,1
May 2024,BEL,BHARAT ELECTRONICS,0.24243718850721402,2
May 2024,M&M,M&M,0.15481555396513358,3
May 2024,HEROMOTOCO,HERO MOTOCORP,0.12235926189829596,4
May 2024,ADANIGREEN,ADANI ENTERPRISES,0.12006132044441666,5
May 2024,TITAN,TITAN,-0.09764277835226219,-5
May 2024,TATAMOTORS,TATA MOTORS,-0.08234620164393726,-4
May 2024,SHRIRAMFIN,SHRIRAM FINANCE,-0.07767588064745215,-3
May 2024,DRREDDY,DR. REDDYS LAB,-0.06688851674390024,-2
May 2024,ONGC,ONGC,-0.06464245232419412,-1
June 2024,NESTLEIND,NESTLE,11.672196545295822,1
June 2024,SHRIRAMFIN,SHRIRAM FINANCE,0.22521178118025592,2
June 2024,TRENT,TRENT,0.19023034152597235,3
June 2024,ULTRACEMCO,ULTRATECH CEMENT,0.16948734152960024,4
June 2024,WIPRO,WIPRO,0.1647698117980784,5
June 2024,ADANIGREEN,ADANI ENTERPRISES,-0.04488136960398276,-5
June 2024,MARUTI,MARUTI SUZUKI,-0.02828073872305623,-4
June 2024,COALINDIA,COAL INDIA,-0.02389034876136845,-3
June 2024,LT,L&T,-0.0214396639765595,-2
June 2024,BPCL,BPCL,-0.019381969675895606,-1
July 2024,NESTLEIND,NESTLE,15.156754101290858,1
July 2024,ONGC,ONGC,0.20375121359704823,2
July 2024,HDFCLIFE,HDFC LIFE INSURANCE,0.18733951685659433,3
July 2024,INFY,INFOSYS,0.17813717835675016,4
July 2024,SBILIFE,SBI LIFE INSURANCE,0.16499549175982928,5
July 2024,AXISBANK,AXIS BANK,-0.07938034653641668,-5
July 2024,TATASTEEL,TATA STEEL,-0.048359171665878636,-4
July 2024,BAJFINANCE,BAJAJ FINANCE,-0.04240250945652361,-3
July 2024,HDFCBANK,HDFC BANK,-0.03892399004834769,-2
July 2024,RELIANCE,RELIANCE IND.,-0.03755924830496441,-1
August 2024,NESTLEIND,NESTLE,15.37600736177107,1
August 2024,TRENT,TRENT,0.21574332815931094,2
August 2024,BAJAJ-AUTO,BAJAJ AUTO,0.12203685661493341,3
August 2024,SHRIRAMFIN,SHRIRAM FINANCE,0.09299241447039984,4
August 2024,BAJAJFINSV,BAJAJ FINSERV,0.07935709406284643,5
August 2024,TATASTEEL,TATA STEEL,-0.07508988802317751,-5
August 2024,SBIN,SBI,-0.06522913455092637,-4
August 2024,ADANIPORTS,ADANI PORTS & SEZ,-0.05430583342074766,-3
August 2024,MARUTI,MARUTI SUZUKI,-0.05298096336903395,-2
August 2024,BEL,BHARAT ELECTRONICS,-0.05083377599211016,-1
September 2024,NESTLEIND,NESTLE,16.18538571911017,1
September 2024,BAJAJ-AUTO,BAJAJ AUTO,0.12837497080252805,2
September 2024,SHRIRAMFIN,SHRIRAM FINANCE,0.11309848622268895,3
September 2024,BAJAJFINSV,BAJAJ FINSERV,0.10384888318956592,4
September 2024,M&M,M&M,0.10205344775664832,5
September 2024,TATAMOTORS,TATA MOTORS,-0.12804777476056853,-5
September 2024,ONGC,ONGC,-0.10235790020835603,-4
September 2024,TCS,TCS,-0.06369796051258794,-3
September 2024,BEL,BHARAT ELECTRONICS,-0.04537459038838343,-2
September 2024,DRREDDY,DR. REDDYS LAB,-0.03980253012130576,-1
October 2024,NESTLEIND,NESTLE,18.82804175768143,1
October 2024,SBIN,SBI,0.043354435169644885,2
October 2024,TECHM,TECH MAHINDRA,0.02317072725985702,3
October 2024,WIPRO,WIPRO,0.022344201176947326,4
October 2024,ICICIBANK,ICICI BANK,0.01725180885371238,5
October 2024,INDUSINDBK,INDUSIND BANK,-0.29363535818744463,-5
October 2024,BAJAJ-AUTO,BAJAJ AUTO,-0.21461543053927923,-4
October 2024,MARUTI,MARUTI SUZUKI,-0.17499720189679024,-3
October 2024,TATACONSUMER,TATA CONSUMER,-0.17185300362737427,-2
October 2024,BPCL,BPCL,-0.16966618451399584,-1
November 2024,NESTLEIND,NESTLE,10.78932414381897,1
November 2024,M&M,M&M,0.10240193169007519,2
November 2024,TECHM,TECH MAHINDRA,0.0851051558157185,3
November 2024,INFY,INFOSYS,0.08151973646269763,4
November 2024,HCLTECH,HCL TECHNOLOGIES,0.0738238134882139,5
November 2024,ADANIGREEN,ADANI ENTERPRISES,-0.24750289465667885,-5
November 2024,ADANIPORTS,ADANI PORTS & SEZ,-0.17847524013301658,-4
November 2024,ASIANPAINT,ASIAN PAINTS,-0.16688221908454787,-3
November 2024,NTPC,NTPC,-0.10809999939262438,-2
November 2024,SHRIRAMFIN,SHRIRAM FINANCE,-0.09466184417557942,-1
